country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
1500	Low-income countries	47.92	46.42	46.529	46.918	47.187	47.301	47.19	47.759	47.808	47.368	47.408	47.218	47.415	47.619	47.613	47.655	47.826	48.119	47.977	47.97	47.893	47.754	47.712	47.11	46.841	46.726	46.538	46.492	46.486	46.61	46.558	46.456	46.324	46.358	46.394	46.435	46.357	46.218	45.997	45.744	45.549	45.372	45.135	44.979	44.627	44.596	44.229	43.728	43.226	42.958	42.558	42.23	41.847	41.435	41.089	40.755	40.501	40.195	39.772	39.391	38.968	38.516	38.032	37.516	37.05	36.664	36.268	35.893	35.586	35.334	35	34.67
1518	No income group available	46.978	47.419	47.632	47.692	47.578	47.414	47.235	47.254	46.948	46.004	44.865	44.163	43.431	42.715	41.951	41.21	40.481	39.758	39.014	38.25	37.483	36.76	36.184	35.779	35.355	35.026	34.754	34.449	34.106	33.778	33.323	32.818	32.226	31.736	31.309	30.918	30.893	30.524	30.043	29.476	28.882	28.248	27.611	27	26.43	25.873	25.41	24.993	24.597	24.272	23.902	23.534	23.209	22.869	22.579	22.333	22.057	21.748	21.439	21.123	20.809	20.472	20.152	19.811	19.492	19.186	18.882	18.485	17.819	16.887	16.218	15.882
903	Africa	48.102	48.163	48.167	48.185	48.075	47.992	47.929	47.858	47.778	47.668	47.593	47.584	47.586	47.498	47.394	47.267	47.179	47.063	46.938	46.851	46.736	46.697	46.571	46.388	46.329	46.283	46.13	46.013	45.915	45.822	45.623	45.377	45.167	45	44.697	44.392	44.008	43.577	43.013	42.495	41.909	41.498	41.117	40.698	40.243	39.956	39.553	39.076	38.72	38.583	38.379	38.243	38.037	37.861	37.706	37.644	37.526	37.402	37.314	37.054	36.862	36.588	36.226	35.843	35.46	35.066	34.487	34.104	33.733	33.348	32.924	32.543
910	Eastern Africa	49.24	49.229	49.159	49.106	49.007	48.952	48.935	48.971	48.96	48.974	48.928	48.962	48.965	48.925	48.878	48.901	48.912	48.914	48.955	49.065	49.064	49.111	49.035	48.87	48.847	48.836	48.795	48.767	48.713	48.645	48.474	48.394	48.199	48.108	48.008	47.926	47.694	47.445	47.059	46.686	46.36	46.003	45.614	45.305	44.821	44.732	44.538	44.261	43.889	43.623	43.245	43.002	42.616	42.107	41.756	41.381	40.89	40.398	39.864	39.282	38.696	38.013	37.197	36.577	36.014	35.579	35.157	34.706	34.313	34.003	33.614	33.231
108	Burundi	51.334	50.678	49.933	49.448	48.883	48.399	47.885	47.398	47.013	46.736	46.501	46.265	46.522	46.368	46.25	46.896	46.85	47.124	47.192	47.45	47.339	47.455	47.633	46.325	46.718	47.371	47.499	47.728	48.16	48.865	48.896	50.47	49.673	49.495	48.763	48.338	47.762	47.474	47.248	46.912	46.545	46.128	45.702	46.026	39.132	44.504	43.858	41.867	41.346	42.005	42.473	42.882	43.807	44.485	45.297	46.03	46.38	46.525	46.562	46.681	46.691	45.583	44.413	43.402	42.356	41.321	39.479	38.124	37.011	36.323	35.603	34.842
174	Comoros	44.197	44.661	45.626	46.38	46.956	47.391	47.614	47.759	47.812	47.778	47.731	47.62	47.428	47.175	46.923	46.632	46.351	46.105	45.909	45.708	45.569	45.576	45.544	45.587	45.584	45.575	45.62	45.577	45.609	45.709	45.609	45.569	45.448	45.185	44.878	44.48	44.096	43.626	43.171	42.615	41.987	41.352	40.632	39.804	38.89	38.407	38.003	37.505	37.046	36.507	35.895	35.505	35.017	34.526	34.561	34.515	34.293	34.07	33.938	33.944	33.924	33.841	33.408	32.996	32.594	32.147	31.756	31.33	30.859	30.4	29.896	29.398
262	Djibouti	45.741	45.892	46.075	46.258	46.312	46.449	46.589	46.534	46.687	46.752	46.703	46.786	46.869	46.914	46.975	46.963	46.99	46.874	46.846	46.687	46.591	46.416	46.204	45.823	45.471	45.103	44.658	44.263	43.805	43.322	42.804	42.268	41.824	41.383	40.918	40.472	40.183	39.875	39.511	39.142	38.749	38.177	37.673	37.207	36.56	35.616	34.66	33.71	33.376	33.369	33.233	33.123	32.788	32.15	31.142	30.226	29.167	28.331	27.434	26.79	26.118	25.521	25.06	24.66	24.207	23.889	23.516	23.276	22.982	22.748	22.477	22.205
232	Eritrea	44.888	45.276	45.733	46.107	46.306	46.515	46.712	47.066	47.228	47.512	47.554	47.644	47.89	47.873	47.921	47.913	47.818	47.652	47.412	47.103	47.028	46.682	46.307	46.029	45.959	45.868	45.771	45.546	45.266	45.073	44.967	44.979	44.984	44.989	44.651	44.35	44.052	43.754	43.635	43.213	42.662	42.003	41.697	40.914	41.484	40.561	42.342	40.646	39.359	38.19	37.617	36.827	37.239	36.8	37.272	36.677	36.24	35.301	34.667	34.402	33.692	33.114	32.424	31.719	31.214	30.417	29.91	29.421	29.105	28.941	28.706	28.624
231	Ethiopia	49.395	49.144	48.583	48.136	47.718	47.409	47.206	47.18	47.293	47.398	47.462	47.592	47.693	47.813	48.048	48.267	48.457	48.659	48.838	49.304	49.418	49.521	49.538	49.423	49.555	49.589	49.686	49.886	49.803	49.836	49.835	49.863	49.968	50.183	50.699	51.019	51.027	50.732	50.298	50.003	50.052	49.797	49.056	48.723	48.191	47.648	47.371	46.776	45.842	45.269	44.501	44.029	43.39	42.306	41.657	40.997	40.232	39.51	38.46	37.293	36.528	35.846	34.845	33.938	33.554	33.428	33.315	33.059	32.996	33.123	32.78	32.383
404	Kenya	49.471	50.656	51.806	52.819	53.685	54.304	54.983	55.529	55.636	55.369	55.169	55.45	55.581	55.453	55.229	55.294	54.922	54.369	53.842	53.367	52.749	52.41	51.735	51.018	50.436	50.031	49.778	49.425	49.188	48.95	48.569	48.52	48.081	47.532	47.317	46.886	46.62	46.191	45.389	44.538	43.522	42.541	41.712	41.064	40.599	40.428	40.22	40.075	40.242	39.987	39.934	39.983	39.594	39.045	38.732	38.502	38.29	38.098	37.546	36.563	35.422	34.24	33.174	32.127	31.298	30.957	30.401	29.755	29.18	28.46	27.998	27.685
