country_code	name	1950-1955	1955-1960	1960-1965	1965-1970	1970-1975	1975-1980	1980-1985	1985-1990	1990-1995	1995-2000	2000-2005	2005-2010	2010-2015	2015-2020	last.observed
288	Ghana	42.2092	44.2303	45.4628	45.6982	46.2092	48.2666	49.7058	52.0813	54.9155	56.1518	57.475	58.9631	60.4673	62.1219	2021
324	Guinea	34.3415	34.9172	35.6587	36.8605	38.2842	40.1076	42.5514	45.3056	47.4655	50.6451	52.812	54.6431	56.0717	57.9133	2021
624	Guinea-Bissau	34.0193	34.9606	34.2798	33.407	35.6998	40.7352	42.4071	44.0394	45.8796	45.7064	48.6608	51.8399	55.359	57.9269	2021
430	Liberia	37.1075	36.9415	36.7521	37.8125	39.853	42.0796	43.7027	42.8327	37.398	44.9464	51.4763	56.7513	58.4153	59.2437	2021
466	Mali	27.8509	28.6383	29.2244	30.45	32.8984	36.9646	41.0048	44.1198	46.8504	48.3914	51.5435	54.0779	56.0917	57.9807	2021
478	Mauritania	39.4229	41.9884	45.4923	48.4725	50.189	51.8688	54.4707	56.9778	58.7599	58.8658	59.685	60.4959	61.995	63.3443	2021
562	Niger	35.4772	35.7015	35.9771	35.9627	35.0066	36.7665	39.614	40.1897	42.39	46.656	50.233	54.8919	58.9073	61.1144	2021
566	Nigeria	34.947	35.7399	36.7404	37.0734	40.4846	44.3074	45.4385	44.8665	44.266	44.5822	46.9675	49.302	51.0537	52.0903	2021
654	Saint Helena	64.3373	65.1275	65.5501	65.8264	66.1189	66.6577	67.2172	68.0052	68.9008	71.0193	73.406	73.4467	73.2319	73.3887	2021
686	Senegal	37.237	39.1513	39.6254	39.8507	41.4596	45.2413	49.0956	52.8083	55.0177	55.086	57.212	61.0915	63.5621	65.3887	2021
694	Sierra Leone	29.0492	31.2305	33.4528	35.8804	38.372	40.6022	42.1407	42.7311	42.2747	41.1931	45.5171	49.738	54.4232	57.7023	2021
768	Togo	39.9529	40.7043	41.8437	43.6287	45.9089	48.5999	50.7521	52.1876	52.8206	53.0473	54.4186	56.1565	58.1135	59.753	2021
935	Asia	42.8295	45.486	46.4993	50.9775	53.7054	56.5792	58.9383	61.0991	62.9791	64.7028	66.5	68.0958	69.7405	71.3413	2021
5500	Central Asia	51.0169	52.1252	53.4744	54.8285	56.2426	57.4298	58.7217	60.4549	59.5599	59.7593	61.4925	63.5962	65.947	67.5338	2021
398	Kazakhstan	51.8877	52.9259	53.9623	54.9731	55.9473	56.9409	58.3212	60.2508	59.4144	58.3485	59.0571	61.0245	64.82	67.2705	2021
417	Kyrgyzstan	48.9918	50.3918	51.8582	53.3882	54.9684	56.7116	58.3997	60.346	60.2661	60.6791	62.043	63.1674	65.1427	66.8279	2021
762	Tajikistan	48.8407	50.2501	51.8414	53.3353	55.2856	57.0994	57.353	58.8092	52.5611	57.6887	62.4751	65.0773	66.2065	67.88	2021
795	Turkmenistan	46.3955	48.251	50.5521	52.6889	54.941	56.6136	58.2558	60.0132	60.4508	60.3282	61.9293	63.5562	65.3187	65.5485	2021
860	Uzbekistan	52.4118	53.5683	55.1408	56.8632	58.3911	59.1717	60.3997	61.8196	62.1037	61.9523	63.6322	65.6294	67.1728	68.3102	2021
906	Eastern Asia	43.9075	46.3718	45.9653	54.0248	58.0022	61.7141	64.362	66.0431	67.6447	69.3712	71.3286	73.056	74.45	75.5947	2021
156	China	43.648	44.459	43.5714	52.352	56.5174	60.3797	63.2196	64.9732	66.6366	68.6375	70.5881	72.2975	73.6825	74.8	2021
344	China, Hong Kong SAR	55.566	59.2467	63.1174	66.2658	68.4784	70.3029	72.6846	74.2583	75.3526	77.0679	78.3957	79.4578	80.7977	82.0525	2021
446	China, Macao SAR	58.6805	61.6565	64.1821	66.3754	68.3681	70.2892	72.1822	74.0157	75.8691	77.3222	78.5409	79.7316	80.5131	81.9333	2021
158	China, Taiwan Province of China	54.8925	58.5107	61.6039	64.5184	67.4995	69.2492	70.2551	71.3267	72.0439	72.6221	74.0739	75.0709	76.2498	77.0216	2021
