country_code	country	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	last.observed
1500	Low-income countries	6.580109	6.352188	6.354262	6.400372	6.436044	6.45307	6.437301	6.516525	6.523824	6.465849	6.477004	6.45548	6.488484	6.526983	6.535457	6.554823	6.596003	6.658956	6.665546	6.686635	6.705448	6.713604	6.74377	6.691995	6.676938	6.674985	6.662823	6.671521	6.682866	6.696091	6.690067	6.682562	6.663913	6.660697	6.660407	6.657387	6.647965	6.628364	6.590254	6.55063	6.509092	6.466021	6.424262	6.38992	6.347312	6.310924	6.24788	6.193636	6.135602	6.080895	6.021779	5.964699	5.903191	5.842178	5.782331	5.719447	5.66299	5.597941	5.524977	5.459273	5.377883	5.294535	5.211201	5.137129	5.071588	5.013727	4.950967	4.882059	4.822689	4.762118	4.690436	4.61833	2021
1518	No income group available	6.626028	6.611151	6.604651	6.599863	6.595997	6.593316	6.590062	6.583174	6.562585	6.472532	6.356156	6.297501	6.230212	6.155247	6.072168	5.978628	5.872148	5.751758	5.618139	5.474747	5.326447	5.180205	5.040909	4.912441	4.795941	4.690692	4.591564	4.497654	4.40237	4.305996	4.209081	4.114725	4.025831	3.945409	3.873186	3.806687	3.742473	3.677522	3.608713	3.536267	3.45967	3.379541	3.300411	3.225923	3.155373	3.089733	3.029457	2.973999	2.921773	2.873555	2.82809	2.785508	2.74456	2.705889	2.668725	2.632951	2.598475	2.566552	2.535601	2.50561	2.476625	2.449257	2.422943	2.393602	2.368491	2.344049	2.320222	2.29716	2.275055	2.253928	2.233792	2.214629	2021
903	Africa	6.585567	6.592111	6.595715	6.607247	6.609609	6.617457	6.629676	6.641291	6.650924	6.664019	6.674347	6.689003	6.704878	6.711226	6.71455	6.713171	6.715562	6.716031	6.716034	6.712517	6.708985	6.712016	6.710376	6.702512	6.697268	6.692184	6.679808	6.671272	6.659329	6.636944	6.598001	6.555805	6.513005	6.467578	6.406455	6.338401	6.264499	6.195017	6.111066	6.018518	5.914466	5.832247	5.760073	5.673695	5.588091	5.508483	5.422582	5.339585	5.273253	5.222126	5.175851	5.138138	5.095176	5.057283	5.021113	4.997815	4.974126	4.952411	4.934379	4.893461	4.858837	4.815113	4.770864	4.722501	4.673095	4.630521	4.560223	4.51542	4.469602	4.418991	4.361382	4.304973	2021
910	Eastern Africa	6.92815	6.927591	6.918521	6.912478	6.906046	6.90912	6.918053	6.934103	6.943122	6.961705	6.976544	7.002001	7.024023	7.039821	7.049719	7.065269	7.078298	7.087663	7.104351	7.115542	7.127497	7.139755	7.147069	7.150505	7.150685	7.14854	7.147289	7.149599	7.146859	7.129298	7.1039	7.072685	7.034074	7.003438	6.970414	6.923953	6.876033	6.825371	6.763662	6.691356	6.609625	6.534051	6.464262	6.397254	6.325511	6.264595	6.205802	6.161987	6.098696	6.027052	5.96077	5.904654	5.840277	5.764121	5.692528	5.621336	5.545165	5.469005	5.385656	5.292107	5.186133	5.067866	4.940992	4.836276	4.735632	4.661262	4.590647	4.518168	4.453422	4.390121	4.314905	4.239641	2021
108	Burundi	6.922931	6.913896	6.900235	6.91464	6.917043	6.930099	6.931254	6.932129	6.94915	6.979183	7.002647	7.022653	7.03848	7.066627	7.089666	7.113315	7.134903	7.155749	7.179927	7.214779	7.214485	7.213272	7.210117	7.21548	7.222224	7.244177	7.247986	7.24531	7.258642	7.307066	7.352631	7.328829	7.314221	7.297978	7.295076	7.293651	7.319753	7.379552	7.382803	7.386872	7.365062	7.336361	7.300541	7.272365	7.230234	7.183612	7.123405	7.040367	6.957955	6.897352	6.871521	6.849002	6.818742	6.785496	6.746361	6.707592	6.658865	6.58845	6.514925	6.409153	6.25991	6.108129	5.990923	5.888722	5.794481	5.695056	5.586523	5.481355	5.379986	5.271263	5.176555	5.077895	2021
174	Comoros	5.68629	5.771081	5.934299	6.084791	6.222557	6.347622	6.460092	6.560207	6.648375	6.725256	6.791703	6.84872	6.897469	6.939101	6.974566	7.004091	7.027345	7.044059	7.054568	7.059917	7.061364	7.098355	7.118955	7.142198	7.134127	7.120903	7.114047	7.10055	7.096753	7.104103	7.08236	7.07744	7.066509	7.046076	7.010731	6.960419	6.894421	6.816678	6.72524	6.617816	6.496535	6.35762	6.204871	6.052415	5.897349	5.783758	5.690436	5.593416	5.491842	5.372294	5.297184	5.254371	5.206129	5.149257	5.09513	5.030485	4.954798	4.88226	4.826356	4.790933	4.758782	4.721098	4.640978	4.568473	4.492424	4.417949	4.347799	4.278356	4.196049	4.124829	4.05223	3.977704	2021
262	Djibouti	6.854346	6.851333	6.847985	6.857728	6.847576	6.853946	6.855384	6.833538	6.845439	6.846882	6.827501	6.829118	6.835892	6.837468	6.845889	6.844989	6.853686	6.846442	6.852199	6.847002	6.856828	6.857579	6.852601	6.82344	6.799654	6.769275	6.730065	6.694011	6.654298	6.606871	6.553158	6.491136	6.442533	6.387268	6.328151	6.263274	6.218685	6.17076	6.116813	6.055294	5.981833	5.876864	5.77382	5.663159	5.529138	5.340001	5.152922	4.957263	4.776906	4.670398	4.577694	4.495987	4.378605	4.246555	4.113078	3.992037	3.855018	3.723766	3.588541	3.48711	3.390251	3.305342	3.236961	3.178193	3.112353	3.066056	3.010594	2.972444	2.928908	2.891494	2.848403	2.804072	2021
232	Eritrea	6.522468	6.514636	6.522234	6.525831	6.50518	6.487629	6.477521	6.494664	6.48963	6.506973	6.482552	6.473501	6.496482	6.48148	6.487092	6.493902	6.496566	6.50443	6.50264	6.502638	6.540713	6.541222	6.538175	6.547905	6.56696	6.58641	6.602837	6.608347	6.607224	6.620673	6.614037	6.622134	6.634075	6.646184	6.623261	6.586759	6.554564	6.519821	6.466691	6.412538	6.337909	6.242078	6.156495	6.069492	6.004915	5.938763	5.840898	5.743395	5.633237	5.515627	5.397073	5.305882	5.232869	5.143047	5.035564	4.933644	4.880813	4.812075	4.737075	4.655813	4.570792	4.48629	4.406874	4.335496	4.272556	4.216542	4.164355	4.111972	4.056435	3.996857	3.933407	3.867382	2021
231	Ethiopia	7.350007	7.298092	7.201075	7.117685	7.047921	6.991642	6.948347	6.917323	6.897214	6.885667	6.879971	6.877343	6.875146	6.871813	6.867348	6.864396	6.867232	6.879536	6.903028	6.936884	6.977705	7.020465	7.060271	7.093931	7.120811	7.14344	7.187694	7.255155	7.296309	7.310436	7.333968	7.35656	7.371972	7.382984	7.399626	7.378109	7.359025	7.338471	7.302588	7.270705	7.237788	7.207004	7.157386	7.124627	7.075871	7.008119	6.922677	6.850351	6.753056	6.646304	6.559866	6.46321	6.373581	6.240094	6.106664	5.972816	5.852584	5.739957	5.571238	5.389574	5.21681	5.049979	4.883279	4.724059	4.608859	4.530868	4.468969	4.390302	4.342897	4.322559	4.24288	4.159058	2021
404	Kenya	7.328672	7.364169	7.392161	7.418356	7.453841	7.474656	7.528567	7.587433	7.602645	7.615423	7.632376	7.717675	7.803217	7.863643	7.920027	8.028006	8.055706	8.045719	8.037542	8.031233	8.024367	8.003014	7.974676	7.938556	7.907198	7.877318	7.84287	7.802809	7.746029	7.678837	7.598026	7.512643	7.402057	7.262692	7.122509	6.974642	6.848313	6.681905	6.505179	6.322852	6.129358	5.934989	5.745832	5.573827	5.445973	5.366373	5.305585	5.260338	5.245774	5.181188	5.136861	5.091164	5.015557	4.906659	4.830082	4.784186	4.747721	4.718609	4.645583	4.514192	4.366676	4.219383	4.087553	3.952186	3.843525	3.799973	3.723857	3.643483	3.579771	3.468543	3.396855	3.335102	2021
