"country"	"country_code"	"1740-1745"	"1745-1750"	"1750-1755"	"1755-1760"	"1760-1765"	"1765-1770"	"1770-1775"	"1775-1780"	"1780-1785"	"1785-1790"	"1790-1795"	"1795-1800"	"1800-1805"	"1805-1810"	"1810-1815"	"1815-1820"	"1820-1825"	"1825-1830"	"1830-1835"	"1835-1840"	"1840-1845"	"1845-1850"	"1850-1855"	"1855-1860"	"1860-1865"	"1865-1870"	"1870-1875"	"1875-1880"	"1880-1885"	"1885-1890"	"1890-1895"	"1895-1900"	"1900-1905"	"1905-1910"	"1910-1915"	"1915-1920"	"1920-1925"	"1925-1930"	"1930-1935"	"1935-1940"	"1940-1945"	"1945-1950"	"Source"
"Greece"	300																							4.806511173	3.905088513	3.86054	3.853438	3.813372	3.595596875	3.53415483	4.334325161	5.04899716	5.412350381	5.29897551	4.608864075	3.705535925	3.01542449	2.89820341	3.972343569	3.89611839	3.452384532	2.987557666	2.399109392	GapMinder (1850-1950)
"Guatemala"	320																																	6.18641148	6.156517084	6.35868288	6.167211353	6.73262346	6.760425267	6.3546352	6.168269787	6.378760112	6.980100818	GapMinder (1900-1950)
"Guyana"	328																													4.549663632	4.177742308	4.274694325	5.241548989	5.346833984	5.517004221	4.787964977	4.380831006	4.923207012	5.005299753	5.008420732	5.071036121	5.542422316	6.288078474	GapMinder (1880-1950)
"Honduras"	340																																		6.292784273	6.227366337	6.09769728	6.36531815	6.281546138	6.051263029	6.087960745	6.322000411	6.441800217	GapMinder (1905-1950)
"Hungary"	348																							4.989844335	4.860898909	5.098243996	5.009387203	5.225775965	5.38638854	5.452810854	5.3346793	5.100678218	4.926989058	5.178936071	4.825186848	4.410754764	3.976446836	3.45737925	3.03016129	2.694196581	2.471386794	2.512945	2.580734602	GapMinder (1850-1925) and Festy (1926-1950)
"Iceland"	352																							4.86700072	4.825185775	4.671687744	4.331422229	4.049588224	3.844410876	3.813482152	3.84155402	3.917872063	4.054435598	4.088199158	3.925485443	3.928911092	3.907374697	3.684470287	3.474	3.219869091	2.814496126	3.268134783	3.625140625	GapMinder (1850-1950)
"India"	356																													5.834451727	5.750753591	5.735282872	5.727651186	5.72308125	5.715829188	5.70399	5.711145127	5.769237826	5.838358554	5.908329565	5.928305598	5.918580652	5.89931488	Bhat (1881-1951)
"Indonesia"	360																																6.063486914	6.014738361	6.201127784	5.979575019	5.361156928	5.4761596	5.457234693	5.428152007	5.3961671	5.368535526	5.353865473	GapMinder (1895-1950)
"Iran"	364																																						7.047202062	7.000732062	6.965782062	6.942628985	6.931543518	GapMinder (1925-1950)
"Ireland"	372																							3.731698517	3.32985999	3.29171864	3.585200353	3.6266594	3.4510098	3.209107194	3.063219606	3.06776771	3.111766433	3.081581657	3.123693383	3.059497772	2.838228967	2.768242352	2.699014225	2.616253259	2.642620628	2.963140381	3.474387737	GapMinder (1850-1950)
"Israel"	376																																						4.414663895	4.27763912	3.510001781	3.613781973	4.36023231	GapMinder (1925-1950)
"Italy"	380																							5.309352142	5.080651899	4.92016013	4.914072	4.886230222	4.92988	5.045650505	5.011798233	4.836572053	4.593261767	4.44451122	4.456100748	4.180212	3.270751252	3.782533356	3.488560609	3.058561571	2.987662449	2.607414474	2.72760625	GapMinder (1850-1929) and Festy (1930-1950)
"Jamaica"	388																											4.723222222	4.635269055	5.116348183	5.142577726	5.190186011	4.95251136	5.079721065	5.220553003	4.907134012	5.28246224	5.06619696	4.88379272	4.785941629	4.283750026	4.060249738	3.881197033	GapMinder (1870-1950)
"Japan"	392													4.191403833	4.352511175	4.435085805	4.465805946	4.484763687	4.499235235	4.515864411	4.541904776	4.593102956	4.668738683	4.748546255	4.811483187	4.796257372	4.126763	3.542126625	3.634798237	3.828006572	4.236707978	4.28335086	4.669961231	4.766717002	4.954618148	5.07351115	4.969262643	5.182234684	4.992534091	4.635818182	4.142160714	3.942046429	4.004570853	GapMinder (1800-1920) and Chesnais (1921-1950)
"Kazakhstan"	398																																6.447340534	6.434496794	6.41037712	6.375393568	6.329958196	6.274404214	6.176455689	5.958840727	5.646367692	5.125693494	4.445106492	GapMinder (1895-1950)
"Korea, Dem. Rep."	408																																	6.111028583	6.126223982	6.136141155	6.139834291	6.112336	5.907578353	6.086168	6.183776222	5.780414647	2.858269376	GapMinder (1900-1950)
"Korea, Rep."	410																																	5.967685185	5.934643347	5.922177641	5.924971036	5.95518	5.890534839	6.020988	6.162945297	6.067834798	5.215701047	GapMinder (1900-1950)
"Kyrgyzstan"	417																																						5.917154	5.004496593	4.499015009	4.436094	4.47116395	GapMinder (1925-1950)
"Latvia"	428													5.197447807	5.185390494	5.163435364	5.13267731	5.094211228	5.049132014	4.998534561	4.943513765	4.885164522	4.824565388	4.755776503	4.661231918	4.542628164	4.405888252	4.256935192	4.101691995	3.946081671	3.79602723	3.657451684	3.53677585	3.440305415	3.358669477	3.275575208	3.174650701	3.039268381	2.79156826	2.453852543	2.43545057	2.371846	2.07870055	GapMinder (1800-1950)
"Lithuania"	440													5.761262227	5.757644753	5.750711871	5.740435991	5.726789525	5.709744883	5.689274475	5.665350714	5.637946008	5.60703277	5.572583409	5.534570337	5.492965965	5.447742702	5.398872959	5.346329149	5.29008368	5.230108964	5.166377412	5.087047661	4.891638786	4.575312976	4.215662947	3.891490365	3.681596895	3.650745777	3.358829137	3.101792411	2.962358895	2.723458328	GapMinder (1800-1950)
"Luxembourg"	442													4.777643311	4.770195136	4.758591868	4.743719407	4.726463655	4.707696367	4.682872839	4.643196525	4.601587161	4.58143867	4.355201302	4.477007529	4.429183854	4.310228514	4.3279997	4.40605555	4.1664075	3.9353562	3.84804595	3.97221975	4.139325272	3.979918527	3.408154957	2.908994618	2.656792167	2.651403273	2.213209253	1.755025031	1.754355631	2.353233787	GapMinder (1800-1950)
"Malaysia"	458																																					5.118123281	4.87011706	4.919905647	5.374210455	4.9859725	5.454046889	GapMinder (1920-1950)
"Maldives"	462																																						5.86257088	5.72227488	5.64399488	5.60949088	5.604582008	GapMinder (1925-1950)
"Malta"	470																													5.39191575	5.285697	5.23887825	5.227460313	5.384841456	5.153005733	4.336903211	4.40664896	4.52730792	4.534189845	4.569826593	4.434539562	4.826967134	4.790826634	GapMinder (1880-1950)
"Martinique"	474																																						5.68836832	5.66252432	5.64810432	5.64174832	5.641167805	GapMinder (1925-1950)
"Mauritius"	480																												5.024757293	4.96073494	4.840523261	4.885950681	5.099173665	5.078324853	4.773655307	4.925882983	4.684146055	5.305403762	4.82857744	4.32904152	4.101654275	4.566504437	5.764209527	GapMinder (1875-1950)
"Mexico"	484																																	6.261371462	6.093701955	5.702308044	5.59004048	6.02262464	5.94897824	5.94181728	5.855228796	6.054890621	6.482689292	GapMinder (1900-1950)
"Mongolia"	496																																						5.843792714	5.707480714	5.604960714	5.537045022	5.504527654	GapMinder (1925-1950)
"Moldova"	498																																4.472591732	6.35228062	6.262294663	6.12455952	5.943065686	5.721803654	5.335175628	4.391330172	3.540544053	3.40065017	3.45659323	GapMinder (1897-1950)
"Montenegro"	499																							5.744230639	5.508143116	5.393002512	5.355388189	5.329594707	5.311668535	5.298837473	5.288329317	5.277371866	5.263192919	5.243020274	5.2140534	5.161545794	5.052564797	4.889289685	4.681361307	4.438420513	4.170108151	3.886065071	3.595756473	GapMinder (1850-1950)
"Netherlands"	528																					5.026275164	4.977379844	4.655140156	4.634363822	4.94666048	5.059075313	5.23369952	5.392997936	5.259521071	5.135638211	4.971393286	4.696481031	4.410581818	4.100331225	3.797586957	3.5826	3.501249206	3.071088294	2.7183125	2.59525	2.9315	3.427400147	"GapMinder (1840-1850), Chesnay (1851-1905)  and Festy (1906-1950)"
"Aruba"	533																																							5.699445	5.76382	5.792195	5.79859475	GapMinder (1930-1950)
"Vanuatu"	548																																						6.877983618	7.240067618	7.479207618	7.616486695	7.672346539	GapMinder (1925-1950)
"New Zealand"	554																							5.24293812	5.1115305	5.08588171	5.649022939	5.362680458	5.495929611	4.885860442	4.182909256	3.708547718	3.456024021	3.559479344	3.625938485	3.486446515	3.243212173	2.993691081	2.649373746	2.411676399	2.657749324	3.114553363	3.558823083	GapMinder (1850-1950)
"Nicaragua"	558																																							6.164117272	6.212441567	6.419327822	6.739195092	GapMinder (1930-1950)
"Norway"	578													4.100372061	3.948270434	4.007752196	4.691000805	4.841458968	4.730436006	4.47133141	4.143786922	4.357003132	4.447208	4.627015684	4.599038989	4.545777244	4.354190476	4.471670635	4.645234319	4.507158358	4.446254545	4.4407	4.472114286	4.161954464	3.88826875	3.632225	3.421204942	3.020650618	2.342048606	1.9207	1.869333333	2.239	2.595	GapMinder (1800-1870) and Festy (1871-1950)
"Micronesia, Fed. Sts."	583																																						6.341714203	6.765758203	7.051498203	7.219648049	7.290330181	GapMinder (1925-1950)
"Panama"	591																																	5.393754672	5.44196512	5.4783488	5.09753152	5.328636578	5.173346658	5.023578874	5.113760011	5.301593178	5.430767878	GapMinder (1900-1950)
"Peru"	604																																	6.746387875	6.655634981	6.593359866	6.55440975	6.533631856	6.525932356	6.549308438	6.644050625	6.763917813	6.846161359	GapMinder (1900-1950)
"Philippines"	608													6.36423038	6.098502276	6.027207814	6.77240482	6.97471206	7.112318782	6.586520849	6.00157123	5.864391079	6.242312007	6.431546478	6.4276048	6.46600384	6.40213408	6.433940825	5.968705082	6.387610711	6.549367879	6.369322639	6.429971592	5.888061604	5.47695614	6.018329574	5.807869464	5.975076674	5.969948148	5.645223568	5.643093416	5.315469948	6.041948524	GapMinder (1800-1950)
"Poland"	616													6.198870814	6.096470875	6.041462941	6.123825805	6.0367	6.2133656	6.2178144	6.34222	6.0836	5.2997	5.407857143	6.082642857	6.34050037	5.546145946	5.67088	5.301375	5.204225	5.5208	5.676575	5.572725	5.1858	4.97475	4.528381111	3.821828889	4.678971447	4.310428406	3.718490147	3.296911834	3.094505082	3.618455941	GapMinder (1800-1950)
"Portugal"	620																							4.363896467	4.185348353	4.101106636	4.124558163	4.197049271	4.235543738	4.179577188	4.288582785	4.02632395	3.928872381	4.150887619	4.060850345	4.380087572	4.008902083	4.28025	4.05015	3.797824719	3.323997158	3.253955788	3.29421663	GapMinder (1850-1939) and  HFD (1940-1950)
"Puerto Rico"	630																																	4.7820535	4.526438248	4.77260832	5.099076456	5.05657643	4.815798279	5.220748875	5.221913	5.383115	5.36641	GapMinder (1900-1950)
"Romania"	642																							4.407481481	4.035513717	4.401619645	4.431311396	4.580403272	4.822106444	5.578528766	5.515727143	5.45782	5.40355	5.279312857	5.414540801	5.607424607	4.03386737	4.902852629	4.617739378	4.42267	3.910410507	2.974509493	3.20062	GapMinder (1850-1950)
"Russia"	643																					6.733687748	6.786437387	6.775939358	6.698253514	6.685615425	6.702093601	6.587409077	6.641046597	6.665610027	6.363084805	6.493818717	7.211220537	7.142724	7.10491968	6.28024	5.392212598	6.089852	6.183079722	4.71748	4.505844	2.820507802	2.74110277	GapMinder (1840-1950)
"Saint Vincent and the Grenadines"	670																																						6.647217966	6.812133105	6.959962998	7.093140199	7.213929588	GapMinder (1925-1950)
"Serbia"	688																							5.643175781	5.451909144	5.697336673	5.996813426	5.87606884	5.542246588	5.428834907	5.404128798	5.4685802	5.639242265	5.27411136	5.134196818	5.206357361	5.115589469	4.955627516	4.740188591	4.482989781	4.197748178	3.898180869	3.597838467	GapMinder (1850-1950)
"Singapore"	702																														5.692310191	5.675711303	5.564750358	5.455379827	5.383171181	5.411786514	5.617670006	5.90582592	6.472176276	7.186327785	7.451152358	6.004484136	6.459964175	GapMinder (1883-1950)
"Slovak Republic"	703																											4.16761172	5.91116612	5.77792992	5.823443271	5.549475459	5.418875391	5.159581972	4.871167666	4.05017829	3.146732877	4.460623065	3.672973333	3.055080952	2.789279209	2.936001076	3.284129045	GapMinder (1872-1950)
"Vietnam"	704																																	4.488992604	4.245508876	4.211454068	4.4529875	4.5856475	4.760015	4.861445556	5.114620708	5.511855533	5.880474966	GapMinder (1900-1950)
"Slovenia"	705													4.928899241	4.923042885	4.910660491	4.890514349	4.861366748	4.821979981	4.771116336	4.707538105	4.630007577	4.537287043	4.428138794	4.270499125	4.2211	4.414521429	4.457290336	4.446038235	4.55455	4.5721	4.5071	4.519821429	4.460578571	4.3421625	3.8192375	2.745372078	3.909350373	3.563579335	3.224348214	2.850621429	2.596639427	2.832976645	GapMinder (1800-1950)
"Spain"	724																							4.803973018	4.731016124	5.095395845	4.925694949	4.814701297	4.770606292	4.80564915	4.765872436	4.665599327	4.541543137	4.67784013	4.531444165	4.296410406	4.1722456	3.975084016	3.740727273	3.501654275	2.740118452	2.74715625	2.686510417	GapMinder (1850-1921) and Festy (1922-1950)
"Sweden"	752			4.8178226	4.6208639	4.650725122	4.5685262	4.296475478	4.5198044	4.188698409	4.1789424	4.422646714	4.325986968	4.432741626	4.326093791	4.659841011	4.793606973	5.058978643	4.745251994	4.601765589	4.333835453	4.435234236	4.376462432	4.329027102	4.523010267	4.607350363	4.238131012	4.457643988	4.50950223	4.32157277	4.245980708	3.997219005	3.958202352	3.840020292	3.671924595	3.263691613	2.884739466	2.557783728	2.030163434	1.741696203	1.791383903	2.311915661	2.427486975	"Hofsten and Lundstrom (1751-1950), Festy (1751-1890) and HFD (1891-1950)"
"Switzerland"	756																							3.769988036	4.015937804	4.249047474	4.128841206	4.064184327	4.182754167	3.8369225	3.6978975	3.703224	3.816856	3.7252	3.432342567	2.939362939	2.46477072	2.386412538	2.113581626	1.903946725	1.795108148	2.354574353	2.506351852	"GapMinder (1850-1870), Festy (1871-1930) and  HFD (1931-1950)"
"Thailand"	764																																						6.301896357	6.233740357	6.182480357	6.148522511	6.132263827	GapMinder (1925-1950)
"Tonga"	776																																						6.706307892	6.975642892	7.161617892	7.274248277	7.323240584	GapMinder (1925-1950)
"Trinidad and Tobago"	780																4.52427361	4.616767979	4.695070955	4.760365156	4.813833196	4.856657693	4.890021261	4.915106518	4.933096078	4.945172558	4.952518575	4.956316743	4.95774968	4.91904976	4.473909106	4.47374633	4.816118724	4.922463687	4.571114766	4.3349	4.188599234	4.272673525	4.208352041	4.099988209	4.393241141	5.086951087	5.273625733	GapMinder (1814-1950)
"Tunisia"	788																																							6.390403878	6.326635352	6.162230914	5.857675445	GapMinder (1930-1950)
"Turkey"	792																																	6.917989524	6.908384896	6.890616738	6.865269837	6.83292898	6.794178952	6.749604542	6.69377137	6.62970898	6.894941599	GapMinder (1900-1950)
"Ukraine"	804																													7.417972854	7.256347169	7.06389221	6.844698886	6.597722632	6.318044422	6.001332403	5.643276702	5.239567446	4.735786306	3.992241774	3.309552816	2.959114903	2.772540578	GapMinder (1880-1950)
"Macedonia, FYR"	807																																						5.896098199	5.875844429	5.834195402	5.768079969	5.673066312	GapMinder (1925-1950)
"Egypt"	818																																			5.98888964	6.022058517	6.072062278	6.326709318	6.195575843	5.893821522	5.974718352	6.126664548	GapMinder (1912-1950)
"United Kingdom"	826													5.347733271	5.392615979	5.516820438	5.581426479	5.510405697	5.065711236	4.8600104	4.851952933	4.833982067	4.760157792	4.881642208	4.889903375	4.925267958	4.904869667	4.910579385	4.86294075	4.549733415	4.170480287	3.89625936	3.62508613	3.397739234	3.12588669	2.843609696	2.409158709	2.411699945	2.012247548	1.791814069	1.793115024	2.012294552	2.362613011	GapMinder (1800-1950)
"Channel Islands"	830																											4.890102526	4.598483812	4.319488443	4.054758595	3.805936446	3.574664172	3.362583952	3.1713201	2.994914302	2.815496068	2.636947039	2.467823456	2.316681557	2.192077582	2.102567771	2.056680406	GapMinder (1870-1950)
"United States"	840													6.960906325	6.847486397	6.736527603	6.628124145	6.526051908	6.434990587	6.341976416	6.23092591	6.074097486	5.847567397	5.592973762	5.362814409	5.19406942	5.064260767	4.944518052	4.809633674	4.621368681	4.358031392	4.089034974	3.897997754	3.818170131	3.641322275	3.531818166	3.292423132	3.128825684	2.687629577	2.172584992	2.063865283	2.430211407	2.998211809	"GapMinder (1800-1900),  Chesnais (1901-1932) and HFD (1933-1950)"
"Uruguay"	858																							5.799870292	5.798971397	5.796585087	5.792021261	5.784589815	5.773600647	5.582836353	5.569300001	5.223129166	4.5996559	4.363483689	4.430647602	4.218509995	3.689313368	3.457154461	3.268105719	2.910930278	2.685733778	2.680395352	2.685980507	GapMinder (1850-1950)
"Venezuela"	862																														5.98425701	6.032495148	5.734173777	5.650209088	5.87063648	5.869367297	5.55049375	5.578966233	5.67105152	5.363862718	5.416648066	5.604795853	6.114863708	GapMinder (1885-1950)
